placemark,lat,lon
1,31.897904,120.502559
2,31.897843,120.503442
3,31.896753,120.504465
4,31.896948,120.505779
5,31.89623,120.507815
6,31.895787,120.508994
7,31.895056,120.509867
8,31.894171,120.510917
9,31.894215,120.511919
10,31.89446,120.514622
11,31.895943,120.516991
12,31.8974,120.5167
13,31.899023,120.517282
14,31.898744,120.518423
15,31.900514,120.519382
16,31.902217,120.519112
17,31.901873,120.519812
18,31.898075,120.520426
19,31.897669,120.521579
20,31.897599,120.522569
21,31.898211,120.52174
22,31.898915,120.520938
23,31.899032,120.520453
24,31.89914,120.520044
25,31.899621,120.520814
26,31.899018,120.521956
27,31.898888,120.522591
28,31.898807,120.522984
29,31.899346,120.523705
30,31.899477,120.523258
31,31.899585,120.522855
32,31.899766,120.522402
33,31.899897,120.52195
34,31.900128,120.521455
35,31.900331,120.520852
36,31.900584,120.523242
37,31.900949,120.523425
38,31.901009,120.521875
39,31.901811,120.520421
40,31.903048,120.524803
41,31.903147,120.524297
42,31.903437,120.523694
43,31.903429,120.522397
44,31.903815,120.521966
45,31.904034,120.520652
46,31.904273,120.519769
47,31.906254,120.519575
48,31.905976,120.521018
49,31.905344,120.523247
50,31.904681,120.525385
51,31.905547,120.525562
52,31.905845,120.524738
53,31.906774,120.526316
54,31.906813,120.525616
55,31.906998,120.524846
56,31.907028,120.524189
57,31.910275,120.520942
58,31.909995,120.52175
59,31.909685,120.521648
60,31.909269,120.521645
61,31.909247,120.522851
62,31.909521,120.524044
63,31.90902,120.52484
64,31.908977,120.525648
65,31.908753,120.528792
66,31.910874,120.52989
67,31.90456,120.527942
68,31.903996,120.526714
69,31.903972,120.527845
70,31.903412,120.527721
71,31.904673,120.529201
72,31.904466,120.530084
73,31.904133,120.529917
74,31.904322,120.529072
75,31.903543,120.529005
76,31.903009,120.528809
77,31.902362,120.526876
78,31.902087,120.527947
79,31.901652,120.528986
80,31.901635,120.527764
81,31.901238,120.527581
82,31.900731,120.528513
83,31.90081,120.527436
84,31.900386,120.527264
85,31.90012,120.528324
86,31.900892,120.525983
87,31.900099,120.525762
88,31.899325,120.527713
89,31.899156,120.528368
90,31.898402,120.52496
91,31.898047,120.52664
92,31.897007,120.524459
93,31.896592,120.525913
94,31.897803,120.527458
95,31.896431,120.527073
96,31.897015,120.527245
97,31.896344,120.520254
98,31.895701,120.521665
99,31.895396,120.520114
100,31.894789,120.521396
101,31.89335,120.518241
102,31.892397,120.518101
103,31.894735,120.523361
104,31.894861,120.524379
105,31.893832,120.524616
106,31.893681,120.526021
107,31.892947,120.525822
108,31.893022,120.524966
109,31.892536,120.523706
110,31.891759,120.522963
111,31.891061,120.524018
112,31.891364,120.525009
113,31.890534,120.524821
114,31.890695,120.52706
