valid,编号,公司1（300m内，由近到远）,公司2,公司3,公司4,公司5,公司6,公司7,公司8,公司9,公司10,公司11
,1,苏闽(张家港)新型金属材料科技有限公司,,,,,,,,,,
,2,苏闽(张家港)新型金属材料科技有限公司,,,,,,,,,,
,3,苏闽(张家港)新型金属材料科技有限公司,,,,,,,,,,
,4,苏闽(张家港)新型金属材料科技有限公司,,,,,,,,,,
,5,张家港市潜力运动休闲用品有限公司,,,,,,,,,,
,6,张家港市潜力运动休闲用品有限公司,,,,,,,,,,
,7,张家港市潜力运动休闲用品有限公司,,,,,,,,,,
,8,张家港市潜力运动休闲用品有限公司,,,,,,,,,,
,9,张家港市港源电力建设有限公司(西二环路),,,,,,,,,,
,10,张家港市港源电力建设有限公司(西二环路),,,,,,,,,,
,11,张家港市龙杰特种化纤有限公司,,,,,,,,,,
,12,张家港市龙杰特种化纤有限公司,,,,,,,,,,
,13,张家港市龙杰特种化纤有限公司,,,,,,,,,,
,14,阿乐斯绝热材料(苏州)有限公司,张家港市龙杰特种化纤有限公司,张家港江联精机有限公司,,,,,,,,
,15,骏鑫实业,泰林汽车配件(张家港)有限公司,张家港江联精机有限公司,,,,,,,,
,16,泰林汽车配件(张家港)有限公司,骏鑫实业,张家港江联精机有限公司,,,,,,,,
,17,骏鑫实业,泰林汽车配件(张家港)有限公司,张家港江联精机有限公司,,,,,,,,
,18,阿乐斯绝热材料(苏州)有限公司,张家港江联精机有限公司,,,,,,,,,
,19,阿乐斯绝热材料(苏州)有限公司,美利肯纺织(张家港)有限公司,,,,,,,,,
,20,阿乐斯绝热材料(苏州)有限公司,美利肯纺织(张家港)有限公司,,,,,,,,,
,21,阿乐斯绝热材料(苏州)有限公司,张家港市苏韵时装有限公司,张家港江联精机有限公司,,,,,,,,
,22,阿乐斯绝热材料(苏州)有限公司,张家港江联精机有限公司,张家港市苏韵时装有限公司,骏鑫实业,,,,,,,
,23,张家港江联精机有限公司,阿乐斯绝热材料(苏州)有限公司,骏鑫实业,,,,,,,,
,24,张家港江联精机有限公司,阿乐斯绝热材料(苏州)有限公司,骏鑫实业,泰林汽车配件(张家港)有限公司,,,,,,,
